City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,pozo colorado,-23.4923,-58.7972,23.56,57,100,1.92,PY,1675493372
332,chuy,-33.6971,-53.4616,18.48,90,11,4.65,UY,1675493372
333,wylie,33.0151,-96.5389,5.3,79,0,2.06,US,1675493373
334,sayyan,15.1718,44.3244,16.93,26,4,0.43,YE,1675493373
335,bubaque,11.2833,-15.8333,24.66,52,5,4.17,GW,1675493374
336,san pedro,14.35,121.0167,30.57,61,75,4.63,PH,1675493374
337,havoysund,70.9963,24.6622,-3.87,91,100,8.84,NO,1675493374
338,vila franca do campo,37.7167,-25.4333,15.23,89,100,3.05,PT,1675493375
339,ayan,56.45,138.1667,-21.29,90,36,2.04,RU,1675493375
340,saint-georges,12.0564,-61.7485,25.82,78,75,9.77,GD,1675493376
341,tura,25.5198,90.2201,26.28,29,2,2.42,IN,1675493376
342,marsaxlokk,35.8419,14.5431,9.34,87,20,3.6,MT,1675493376
343,naryan-mar,67.6713,53.087,-13.53,98,92,3.02,RU,1675493377
344,boksitogorsk,59.474,33.8485,-3.55,96,99,2.3,RU,1675493377
345,ponta delgada,37.7333,-25.6667,15.4,94,20,3.09,PT,1675493377
346,liverpool,53.4106,-2.9779,9.68,80,75,4.63,GB,1675493250
347,inuvik,68.3499,-133.7218,-34.52,71,40,1.54,CA,1675493160
348,half moon bay,37.4636,-122.4286,11.88,96,100,0.0,US,1675493228
349,bozeman,45.6796,-111.0386,4.68,48,75,4.63,US,1675493184
350,weyburn,49.6668,-103.8511,-6.88,86,92,3.09,CA,1675493129
351,yeppoon,-23.1333,150.7333,30.88,67,100,3.02,AU,1675493378
352,khandyga,62.6667,135.6,-34.73,97,35,0.9,RU,1675493378
353,makat,47.6469,53.3463,-1.64,93,100,6.63,KZ,1675493379
354,ihosy,-22.4,46.1167,24.01,73,56,3.49,MG,1675493379
355,clonakilty,51.6231,-8.8706,8.56,83,100,6.38,IE,1675493380
